City,Country,Temperature,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude,Date
sitka,US,55.4,62,1,4.41,57.05,-135.33,1600107974
tiksi,RU,40.24,87,60,9.33,71.69,128.87,1600107854
kununurra,AU,80.6,24,40,10.29,-15.77,128.73,1600108074
ushuaia,AR,42.8,59,20,4.7,-54.8,-68.3,1600108074
buin,CL,80.6,12,0,2.24,-33.73,-70.75,1600108075
new norfolk,AU,53.01,64,68,5.99,-42.78,147.06,1600108075
hayden,US,60.8,63,1,4.7,47.77,-116.79,1600108075
khatanga,RU,44.89,84,15,2.59,71.97,102.5,1600108075
busselton,AU,55.99,57,1,8.05,-33.65,115.33,1600108075
hermanus,ZA,48.99,88,82,6.22,-34.42,19.23,1600108075
nelson bay,AU,55.0,93,40,5.82,-32.72,152.15,1600108076
albany,US,71.01,40,15,3.0,42.6,-73.97,1600108076
husavik,IS,50.0,71,75,2.24,66.04,-17.34,1600108076
jamestown,US,62.01,59,20,11.41,42.1,-79.24,1600107780
lebu,CL,52.99,66,0,25.3,-37.62,-73.65,1600107996
broken hill,AU,50.0,71,0,5.82,-31.95,141.43,1600107856
tuktoyaktuk,CA,35.6,93,90,9.17,69.45,-133.04,1600108076
mar del plata,AR,60.8,25,0,8.05,-38.0,-57.56,1600108076
camacha,PT,75.2,64,20,6.93,33.08,-16.33,1600108076
palmerston,AU,73.99,73,40,2.15,-12.49,130.98,1600108077
castro,BR,85.55,31,82,4.36,-24.79,-50.01,1600107969
kargasok,RU,48.96,93,15,7.34,59.06,80.86,1600108077
kaitangata,NZ,45.0,66,58,8.01,-46.28,169.85,1600108077
port alfred,ZA,58.86,67,0,21.05,-33.59,26.89,1600107975
imeni zhelyabova,RU,48.06,83,0,6.22,58.95,36.6,1600108077
dikson,RU,42.76,87,63,11.61,73.51,80.55,1600108077
leh,IN,56.8,33,0,5.82,34.17,77.58,1600108077
nizhniy baskunchak,RU,61.16,59,67,7.05,48.22,46.83,1600108078
puerto ayora,EC,77.0,65,20,18.34,-0.74,-90.35,1600107914
hobart,AU,53.01,62,90,11.41,-42.88,147.33,1600107982
rikitea,PF,73.56,80,0,11.77,-23.12,-134.97,1600107963
san policarpo,PH,80.53,82,100,3.36,12.18,125.51,1600108078
barrow,US,37.4,93,90,5.82,71.29,-156.79,1600108078
bambous virieux,MU,68.0,52,40,16.11,-20.34,57.76,1600107980
tasiilaq,GL,31.42,98,72,2.66,65.61,-37.64,1600108078
ponta do sol,PT,75.2,73,20,11.41,32.67,-17.1,1600108078
galle,LK,79.63,85,96,11.43,6.04,80.22,1600108079
zastron,ZA,53.65,30,2,10.56,-30.3,27.08,1600108079
pacific grove,US,60.01,87,90,5.28,36.62,-121.92,1600108079
marsaxlokk,MT,71.6,88,100,8.05,35.84,14.54,1600108079
punta arenas,CL,44.6,65,40,32.21,-53.15,-70.92,1600108081
bluff,NZ,42.01,90,100,8.01,-46.6,168.33,1600108081
warin chamrap,TH,78.8,94,20,3.36,15.19,104.86,1600108081
isangel,VU,69.8,88,40,4.7,-19.55,169.27,1600108081
souillac,MU,68.0,52,40,16.11,-20.52,57.52,1600108081
bluefield,US,75.99,68,40,6.93,37.27,-81.22,1600107962
vaini,TO,69.8,83,75,5.82,-21.2,-175.2,1600108017
charlestown,AU,63.0,96,62,4.16,-32.95,151.67,1600108081
ancud,CL,53.01,78,63,1.99,-41.87,-73.82,1600107997
arraial do cabo,BR,84.2,65,0,16.11,-22.97,-42.03,1600108082
odweyne,SO,80.83,47,44,4.97,9.41,45.06,1600107978
kapaa,US,78.01,88,75,5.82,22.08,-159.32,1600108082
mandalgovi,MN,40.62,74,84,12.64,45.76,106.27,1600108082
alice springs,AU,59.0,47,0,4.7,-23.7,133.88,1600108082
cherskiy,RU,41.67,78,96,5.46,68.75,161.3,1600107971
richards bay,ZA,67.26,73,72,9.24,-28.78,32.04,1600108083
butaritari,KI,83.26,71,95,18.32,3.07,172.79,1600108084
padang,ID,78.48,74,100,3.69,-0.95,100.35,1600108084
faanui,PF,78.26,73,14,11.39,-16.48,-151.75,1600107988
hamilton,US,79.0,53,20,10.29,39.18,-84.53,1600107832
te anau,NZ,39.94,89,99,4.63,-45.42,167.72,1600108084
pisco,PE,68.0,72,74,9.17,-13.7,-76.22,1600108084
mataura,NZ,42.01,90,99,8.01,-46.19,168.86,1600108085
tarpon springs,US,82.0,88,1,3.36,28.15,-82.76,1600108085
praia da vitoria,PT,68.0,64,40,18.66,38.73,-27.07,1600108085
bilibino,RU,37.98,85,93,4.85,68.05,166.44,1600108085
iqaluit,CA,39.2,69,90,12.75,63.75,-68.51,1600108044
airai,TL,53.62,97,52,3.33,-8.93,125.41,1600108085
rio grande,BR,57.0,65,66,10.0,-32.03,-52.1,1600107958
kharitonovo,RU,47.61,89,100,9.51,61.4,47.5,1600108085
bredasdorp,ZA,48.2,76,73,5.82,-34.53,20.04,1600108086
lompoc,US,60.8,77,90,3.36,34.64,-120.46,1600108086
xining,CN,49.93,61,62,1.92,36.62,101.77,1600107832
tuatapere,NZ,42.01,90,78,8.01,-46.13,167.68,1600107863
katsuura,JP,73.4,83,75,6.93,35.13,140.3,1600108000
rio gallegos,AR,57.2,67,40,46.08,-51.62,-69.22,1600108086
madingou,CG,82.54,57,89,9.04,-4.15,13.55,1600108086
kapoeta,SS,81.75,47,13,3.13,4.77,33.59,1600108086
bilma,NE,99.34,10,1,10.2,18.69,12.92,1600108086
bosaso,SO,91.42,53,0,2.73,11.28,49.18,1600108087
cape town,ZA,57.99,81,40,5.82,-33.93,18.42,1600107999
saskylakh,RU,43.34,80,100,1.54,71.92,114.08,1600108015
hithadhoo,MV,82.02,67,65,5.53,-0.6,73.08,1600108087
thompson,CA,46.4,81,90,3.36,55.74,-97.86,1600107864
dingle,PH,75.09,93,100,1.1,11.0,122.67,1600108087
guerrero negro,MX,89.31,30,0,2.68,27.98,-114.06,1600107990
upernavik,GL,30.2,82,0,4.97,72.79,-56.15,1600108087
klamath falls,US,79.0,23,1,11.41,42.22,-121.78,1600108087
pachino,IT,78.01,81,99,1.99,36.72,15.09,1600108087
tautira,PF,80.6,69,20,5.82,-17.73,-149.15,1600108088
sao filipe,CV,80.11,79,100,7.25,14.9,-24.5,1600108050
kapit,MY,73.78,90,100,0.38,2.02,112.93,1600108088
honiara,SB,71.6,100,20,5.82,-9.43,159.95,1600108000
hudson bay,CA,55.58,56,100,8.16,52.85,-102.38,1600108088
roald,NO,50.0,93,75,6.93,62.58,6.13,1600108088
mamallapuram,IN,80.6,74,75,4.7,12.63,80.17,1600108088
tecoanapa,MX,85.12,68,96,7.78,16.52,-98.75,1600108088
kahului,US,80.6,57,40,6.93,20.89,-156.47,1600108089
pauini,BR,100.06,29,68,2.89,-7.71,-66.98,1600108089
ambanja,MG,73.9,76,38,1.03,-13.68,48.45,1600108089
westport,US,75.2,47,40,11.41,41.14,-73.36,1600108089
celestun,MX,86.52,67,47,10.67,20.87,-90.4,1600108060
murree,PK,82.99,73,40,9.17,33.91,73.39,1600108089
avarua,CK,69.8,77,70,8.05,-21.21,-159.78,1600108089
yakeshi,CN,42.93,77,73,2.33,49.28,120.73,1600108090
torbay,CA,64.99,100,90,19.46,47.67,-52.73,1600108090
nikolskoye,RU,55.99,81,0,13.42,59.7,30.79,1600108090
pulandian,CN,64.4,88,20,2.24,39.4,121.97,1600107834
nouadhibou,MR,86.0,55,16,19.46,20.93,-17.03,1600108090
lorengau,PG,82.6,76,73,10.8,-2.02,147.27,1600107932
port blair,IN,82.94,75,99,10.27,11.67,92.75,1600108090
poum,NC,72.23,78,1,13.82,-20.23,164.02,1600108090
port hardy,CA,59.0,87,90,9.17,50.7,-127.42,1600108091
carauari,BR,102.65,29,1,3.18,-4.88,-66.9,1600108091
kangaatsiaq,GL,35.44,75,0,15.64,68.31,-53.46,1600107964
lagoa,PT,66.27,64,5,20.4,39.05,-27.98,1600108091
liverpool,GB,73.0,73,84,4.7,53.41,-2.98,1600108091
lengshuijiang,CN,68.02,91,99,0.94,27.69,111.43,1600108091
daru,PG,76.28,84,99,11.77,-9.08,143.21,1600108091
norman wells,CA,41.0,80,75,5.12,65.28,-126.83,1600108090
adelaide,AU,48.99,93,1,3.49,-34.93,138.6,1600108082
luanda,AO,71.6,88,75,2.24,-8.84,13.23,1600107790
basqal,AZ,69.8,77,20,3.36,40.76,48.39,1600108092
fairbanks,US,46.0,86,90,1.66,64.84,-147.72,1600108091
atuona,PF,77.74,77,6,16.84,-9.8,-139.03,1600107858
vila franca do campo,PT,69.8,56,20,16.11,37.72,-25.43,1600108093
anadyr,RU,46.4,100,90,2.24,64.75,177.48,1600108093
dudinka,RU,46.4,100,89,8.95,69.41,86.18,1600108093
myitkyina,MM,73.29,96,99,0.4,25.38,97.4,1600108093
armizonskoye,RU,51.84,78,68,5.79,55.95,67.67,1600108093
san patricio,MX,91.4,63,75,12.75,19.22,-104.7,1600107995
ilulissat,GL,30.2,50,5,5.82,69.22,-51.1,1600108094
tahe,CN,50.07,93,73,3.38,52.33,124.73,1600108094
vila do maio,CV,81.46,76,34,10.42,15.13,-23.22,1600108094
east london,ZA,57.2,71,5,12.75,-33.02,27.91,1600108094
vila velha,BR,80.01,57,11,17.22,-20.33,-40.29,1600108094
emerald,AU,60.8,87,22,8.05,-23.53,148.17,1600108094
saint-philippe,RE,66.2,63,54,24.16,-21.36,55.77,1600107961
pangnirtung,CA,42.8,70,90,11.41,66.15,-65.71,1600108094
jiuquan,CN,54.09,36,0,6.33,39.74,98.52,1600108095
leningradskiy,RU,39.96,95,100,9.04,69.38,178.42,1600108095
victoria,HK,84.0,79,95,8.99,22.29,114.16,1600108093
kodiak,US,51.8,76,1,2.21,57.79,-152.41,1600108095
luderitz,NA,58.37,58,0,23.53,-26.65,15.16,1600108095
qaanaaq,GL,30.07,94,89,9.86,77.48,-69.36,1600108095
inirida,CO,85.44,76,93,3.71,3.87,-67.92,1600108095
talcahuano,CL,64.4,48,0,14.99,-36.72,-73.12,1600108096
esperance,AU,51.8,93,88,12.75,-33.87,121.9,1600108081
garden city,US,71.01,52,90,4.7,42.33,-83.33,1600108096
flinders,AU,60.01,88,81,1.01,-34.58,150.86,1600107927
berbera,SO,95.77,40,0,7.63,10.44,45.01,1600108096
klaksvik,FO,48.2,87,88,3.36,62.23,-6.59,1600108096
ribeira grande,PT,69.8,52,20,17.22,38.52,-28.7,1600108096
puerto leguizamo,CO,99.64,35,0,0.43,-0.19,-74.78,1600108097
challapata,BO,55.56,41,82,20.58,-18.9,-66.77,1600108097
sao joao da barra,BR,82.4,58,0,23.04,-21.64,-41.05,1600108097
san quintin,MX,81.1,48,0,9.24,30.48,-115.95,1600108097
tungor,RU,54.23,93,50,7.38,53.38,142.96,1600108097
kalmunai,LK,82.13,76,100,2.48,7.42,81.82,1600108097
amuntai,ID,75.56,88,99,1.14,-2.42,115.25,1600108097
ibra,OM,83.12,37,39,1.63,22.69,58.53,1600108097
burghausen,DE,71.01,90,14,3.0,48.17,12.83,1600108098
constitucion,CL,62.71,46,0,12.97,-35.33,-72.42,1600107931
madimba,TZ,75.2,83,20,9.17,-10.4,40.33,1600108098
maragogi,BR,78.31,71,61,9.35,-9.01,-35.22,1600108098
kon tum,VN,69.75,93,91,2.55,14.35,108.0,1600108098
carballo,ES,73.99,77,20,2.21,43.21,-8.69,1600108098
la sarre,CA,46.42,63,97,9.42,48.8,-79.2,1600108098
byron bay,AU,57.0,93,2,6.31,-28.65,153.62,1600108099
severo-kurilsk,RU,49.98,85,19,12.91,50.68,156.12,1600108099
pevek,RU,39.6,85,95,7.49,69.7,170.31,1600108092
sisimiut,GL,38.75,68,0,3.96,66.94,-53.67,1600108087
merauke,ID,75.43,80,76,13.51,-8.47,140.33,1600108099
sao miguel do araguaia,BR,101.91,15,0,5.82,-13.28,-50.16,1600108099
saint george,US,90.0,14,1,4.7,37.1,-113.58,1600107885
santa cruz,BO,87.8,40,75,23.04,-17.8,-63.17,1600108014
mehamn,NO,48.2,87,90,8.05,71.04,27.85,1600108099
parati,BR,93.2,16,20,8.05,-23.22,-44.71,1600108099
kidal,ML,101.34,16,60,2.82,18.44,1.41,1600108100
nola,IT,84.2,37,7,8.05,40.92,14.53,1600108100
vila,PT,72.0,67,38,8.99,42.03,-8.16,1600108100
xichang,CN,65.75,78,100,1.12,27.9,102.26,1600108100
arman,RU,47.37,55,36,4.41,59.7,150.17,1600108100
manavalakurichi,IN,82.4,88,40,5.82,8.13,77.3,1600108100
naze,JP,77.0,94,75,2.24,28.37,129.48,1600108101
tadine,NC,68.67,84,6,15.21,-21.55,167.88,1600108101
georgetown,MY,80.6,83,20,3.2,5.41,100.34,1600108101
freeport,US,78.01,44,20,14.99,40.66,-73.58,1600108101
sao jose da coroa grande,BR,78.73,69,60,9.46,-8.9,-35.15,1600108101
kokopo,PG,77.79,82,96,9.48,-4.35,152.26,1600108101
ferry pass,US,80.01,78,20,17.22,30.51,-87.21,1600108101
almaznyy,RU,69.8,35,0,8.95,48.04,40.05,1600108102
avera,US,87.8,58,90,3.36,33.19,-82.53,1600108102
talnakh,RU,46.4,100,95,8.95,69.49,88.4,1600108102
russell,US,89.6,55,75,8.05,32.35,-85.2,1600108102
yellowknife,CA,45.0,52,40,14.99,62.46,-114.35,1600108022
nanortalik,GL,42.62,84,100,22.1,60.14,-45.24,1600108102
lata,PT,75.0,57,65,5.01,40.16,-8.33,1600108102
shimoda,JP,66.99,96,13,3.8,34.67,138.95,1600108064
opuwo,NA,67.8,25,0,7.23,-18.06,13.84,1600108102
carnarvon,AU,69.8,100,10,12.75,-24.87,113.63,1600108039
alappuzha,IN,78.66,85,39,6.93,9.49,76.33,1600108103
nata,PA,86.0,70,75,6.93,8.33,-80.52,1600108103
fortuna,US,60.01,100,90,3.36,40.6,-124.16,1600108103
boda,CF,68.95,95,59,4.16,4.32,17.47,1600108103
kavaratti,IN,82.11,79,35,19.51,10.57,72.64,1600108103
panjab,AF,43.61,56,0,4.83,34.39,67.02,1600108103
yar-sale,RU,49.87,83,100,21.36,66.83,70.83,1600108056
gasa,PS,82.99,100,0,11.95,31.5,34.47,1600108104
punta gorda,US,87.8,74,20,9.17,26.93,-82.05,1600108099
hasaki,JP,70.0,94,75,8.05,35.73,140.83,1600108010
fort wellington,GY,87.58,60,21,8.37,6.4,-57.6,1600108104
tambo,PE,51.49,46,92,6.82,-14.8,-73.92,1600108104
kargopol,RU,45.07,85,29,6.38,61.51,38.95,1600108104
gigmoto,PH,78.57,90,100,12.71,13.78,124.39,1600108025
clyde river,CA,41.0,80,75,11.41,70.47,-68.59,1600108104
port-gentil,GA,78.8,78,75,12.57,-0.72,8.78,1600108105
codrington,AU,44.35,95,36,6.38,-38.27,141.97,1600108105
cabo san lucas,MX,87.8,74,40,4.7,22.89,-109.91,1600108105
akyab,MM,82.11,85,95,7.25,20.15,92.9,1600108105
the valley,AI,91.4,70,20,9.17,18.22,-63.06,1600108105
birjand,IR,64.4,16,0,9.17,32.87,59.22,1600108026
kruisfontein,ZA,55.99,60,4,7.0,-34.0,24.73,1600108105
mahebourg,MU,68.0,52,40,16.11,-20.41,57.7,1600108105
saldanha,ZA,51.8,71,15,5.82,-33.01,17.94,1600108106
saint-joseph,RE,66.2,63,26,24.16,-21.37,55.62,1600108106
xuddur,SO,80.8,58,68,16.93,4.12,43.89,1600108106
hilo,US,79.0,69,1,3.36,19.73,-155.09,1600107826
ndjole,GA,76.14,86,88,2.8,-0.18,10.76,1600108106
ocampo,MX,69.3,50,39,9.13,21.65,-101.5,1600108106
bonavista,CA,62.87,92,100,23.35,48.65,-53.11,1600108106
tazmalt,DZ,75.2,83,20,6.93,36.39,4.4,1600108107
duluth,US,60.01,82,1,13.87,46.78,-92.11,1600107892
kirakira,SB,79.21,83,93,15.97,-10.45,161.92,1600108107
saint-francois,FR,82.4,37,13,6.93,46.42,3.91,1600108107
olafsvik,IS,48.09,71,37,2.77,64.89,-23.71,1600108107
donskoye,RU,71.6,35,0,4.47,45.46,41.97,1600108107
chimbote,PE,65.7,72,75,10.96,-9.09,-78.58,1600107893
santa rosa,PH,82.4,78,20,4.7,14.31,121.11,1600108107
naron,ES,73.99,77,20,5.46,43.52,-8.15,1600108107
santa cruz cabralia,BR,78.8,61,40,10.29,-16.28,-39.02,1600108108
banda aceh,ID,79.92,77,60,10.04,5.56,95.32,1600108108
kaeo,NZ,52.0,3,27,1.99,-35.1,173.78,1600108108
engenheiro beltrao,BR,93.33,24,46,6.8,-23.8,-52.27,1600108108
tiznit,MA,80.94,42,26,6.55,29.58,-9.5,1600108108
kindu,CD,75.22,82,64,1.01,-2.95,25.95,1600108108
nambucca heads,AU,57.0,93,1,4.7,-30.65,153.0,1600108109
port elizabeth,ZA,57.2,67,3,27.51,-33.92,25.57,1600107913
waipawa,NZ,57.2,71,40,26.4,-41.41,175.52,1600108109
bathsheba,BB,89.6,66,40,16.11,13.22,-59.52,1600108109
bethel,US,73.0,49,20,13.87,41.37,-73.41,1600108109
