City,Country,Temperature,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude,Date
busselton,AU,62.01,56,37,11.63,-33.65,115.33,1600221093
malatya,TR,57.2,47,0,6.29,38.5,38.0,1600221636
hilo,US,86.0,58,40,11.41,19.73,-155.09,1600221205
santa cruz de tenerife,ES,75.99,29,100,11.41,28.47,-16.25,1600221636
mataura,NZ,52.0,82,100,13.0,-46.19,168.86,1600221353
victoria,HK,90.0,86,58,11.99,22.29,114.16,1600221324
bredasdorp,ZA,46.4,87,0,5.82,-34.53,20.04,1600221352
ati,TD,80.53,66,94,5.01,13.22,18.34,1600221638
rikitea,PF,74.08,71,0,0.65,-23.12,-134.97,1600221353
arraial do cabo,BR,70.65,90,78,13.11,-22.97,-42.03,1600221227
kuloy,RU,43.11,92,93,8.79,61.03,42.49,1600221638
san patricio,MX,86.0,74,90,11.41,19.22,-104.7,1600221380
los llanos de aridane,ES,75.0,88,98,13.87,28.66,-17.92,1600221351
abu dhabi,AE,86.0,58,0,5.82,24.47,54.37,1600221415
san cristobal,VE,68.23,90,100,1.77,7.77,-72.22,1600221387
tuatapere,NZ,52.0,82,100,13.0,-46.13,167.68,1600221381
avarua,CK,77.0,69,53,16.11,-21.21,-159.78,1600221351
kapaa,US,86.0,58,20,9.17,22.08,-159.32,1600221360
tasiilaq,GL,33.44,94,100,30.04,65.61,-37.64,1600221366
ushuaia,AR,35.6,69,40,8.05,-54.8,-68.3,1600221366
jamestown,US,55.4,66,1,9.17,42.1,-79.24,1600221270
hermanus,ZA,39.99,94,0,9.22,-34.42,19.23,1600221351
albany,US,51.01,68,11,2.3,42.6,-73.97,1600221261
hamilton,US,62.6,93,1,4.63,39.18,-84.53,1600221531
trairi,BR,77.41,77,0,11.77,-3.28,-39.27,1600221221
punta arenas,CL,33.8,74,0,5.82,-53.15,-70.92,1600221374
nelson bay,AU,80.01,50,20,11.41,-32.72,152.15,1600221640
upernavik,GL,26.76,86,0,10.58,72.79,-56.15,1600221363
anqing,CN,73.49,87,100,1.81,30.51,117.05,1600221640
